Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","860.85","0.94%","853.20","5,77,777","5,44,487.43","10.56","-5.03","980.00","715.30","-2.41%","-4.78%","-3.97%","21.33%","-1.65%","3.80","1.41%","49.36%","0.87%","66.13","882.07","877.89","48.24","76.00%","87.50%"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","16,960.00","1.51%","16,750.00","3,88,562","5,33,226.77","35.56","40.74","16,818.00","10,800.20","5.36%","6.23%","51.32%","101.83%","120.51%","5.27","0.81%","15.75%","19.54%","467.71","16,141.12","13,977.32","68.32","78.00%","91.00%"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","3,802.40","1.10%","3,759.90","14,78,292","4,72,839.40","30.17","40.74","3,795.00","2,425.00","1.62%","9.79%","23.37%","201.10%","419.13%","5.64","0.65%","15.83%","15.04%","88.80","3,658.36","3,277.59","66.37","76.00%","89.55%"
"HCL Technologies","https://scanx.trade/company/hcl-technologies-ltd","1,640.20","0.35%","1,632.00","9,50,573","4,45,095.35","26.13","32.92","2,012.20","1,302.75","-0.16%","18.04%","-14.21%","57.79%","72.56%","6.23","3.67%","23.01%","30.84%","60.53","1,613.99","1,565.11","50.43","76.00%","90.92%"
"ITC","https://scanx.trade/company/itc-ltd","350.05","-3.79%","360.00","11,87,90,358","4,38,569.40","12.90","17.10","471.50","362.70","-13.41%","-13.70%","-23.54%","11.17%","73.04%","6.42","3.94%","27.71%","36.57%","16.36","404.28","412.59","15.42","78.00%","91.00%"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","2,195.10","-1.02%","2,217.80","24,47,694","4,36,627.03","23.76","9.51","2,301.90","1,723.75","2.21%","6.39%","22.74%","20.28%","10.08%","2.63","0.11%","13.83%","6.51%","93.78","2,135.90","2,101.72","60.47","78.00%","91.00%"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","1,728.00","0.40%","1,721.10","9,74,123","4,14,605.08","39.37","18.27","1,902.95","1,548.00","-4.39%","5.61%","-8.57%","73.32%","189.81%","5.30","0.93%","14.38%","18.92%","43.95","1,752.16","1,697.63","42.10","78.00%","91.00%"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,266.90","-0.59%","1,273.90","58,60,547","3,93,307.65","15.14","9.51","1,304.00","933.50","-0.69%","9.26%","18.20%","34.55%","103.09%","2.00","0.08%","16.77%","6.50%","86.46","1,252.89","1,168.45","56.68","78.00%","91.00%"
"Titan","https://scanx.trade/company/titan-ltd","4,051.70","0.06%","4,039.00","6,59,997","3,59,704.32","87.04","7.85","4,068.00","2,925.00","4.03%","18.88%","24.52%","57.91%","159.96%","28.07","0.27%","37.22%","36.95%","38.91","3,863.10","3,553.17","70.27","78.00%","91.00%"
"UltraTech Cement","https://scanx.trade/company/ultratech-cement-ltd","11,899.00","-0.02%","11,903.00","2,06,244","3,50,638.75","48.04","30.78","13,097.00","10,047.85","2.03%","-1.62%","3.95%","69.55%","124.90%","4.87","0.65%","11.62%","9.06%","243.84","11,735.80","11,906.24","59.83","78.00%","91.00%"
"NTPC","https://scanx.trade/company/ntpc-ltd","352.10","4.70%","336.80","2,31,28,940","3,41,419.61","13.37","10.67","371.45","292.80","7.64%","3.48%","5.53%","109.58%","255.48%","1.70","2.48%","12.31%","9.85%","22.08","328.17","337.49","80.50","76.00%","91.00%"
"Bajaj Finserv","https://scanx.trade/company/bajaj-finserv-ltd","2,038.40","0.07%","2,030.10","8,93,818","3,25,698.25","16.91","-5.03","2,195.00","1,565.00","-2.08%","1.56%","29.31%","31.30%","129.80%","4.26","0.05%","15.03%","10.65%","52.25","2,068.55","2,014.74","47.52","76.00%","90.89%"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,489.50","0.57%","1,480.10","12,51,176","3,21,752.70","28.50","41.37","1,549.00","1,010.75","-2.68%","4.70%","22.22%","81.14%","195.62%","5.08","0.44%","15.69%","13.60%","46.34","1,483.00","1,385.03","50.81","75.01%","80.00%"
"Oil & Natural Gas Corporation","https://scanx.trade/company/oil-natural-gas-corporation-ltd","241.46","1.48%","237.94","59,25,943","3,03,763.42","6.99","-125.34","273.50","205.00","-1.38%","-0.65%","1.90%","60.49%","159.08%","0.81","5.15%","15.64%","11.31%","36.35","244.14","241.67","55.86","76.00%","90.29%"
